participant_id,mlu_words,mlu_morphemes,ttr,total_tokens,ndw,n_utterances
richardson58,11.051,12.983,0.3358,670,225,59
richardson59,13.707,15.693,0.3091,1071,331,75
richardson60,10.143,12.071,0.3271,752,246,70
richardson92,10.369,12.138,0.3595,701,252,65
richardson08a,7.182,8.349,0.192,3078,591,401
richardson09a,6.925,8.122,0.3107,1117,347,147
richardson10a,6.743,7.743,0.3835,738,283,105
richardson11a,5.332,6.323,0.2137,2064,441,368
richardson13a,1.837,2.082,0.3551,107,38,49
richardson14a,2.566,3.026,0.537,216,116,76
richardson15a,9.455,10.894,0.319,1348,430,132
richardson16a,7.143,8.615,0.3831,723,277,91
richardson17a,3.138,3.845,0.375,224,84,58
richardson19a,5.249,6.338,0.3675,1121,412,201
richardson20a,6.693,7.81,0.3352,1068,358,153
richardson21a,6.502,7.674,0.2532,1663,421,233
richardson23a,1.842,2.018,0.3657,134,49,57
richardson24a,3.773,4.383,0.2298,731,168,154
richardson25a,1.525,1.925,0.44,75,33,40
richardson26a,6.42,7.72,0.4082,708,289,100
richardson27a,4.459,5.276,0.2516,1550,390,333
richardson28a,7.626,9.09,0.2581,2755,711,334
richardson29a,8.036,9.656,0.3004,1914,575,224
richardson30a,7.601,8.962,0.2591,1258,326,158
richardson31a,5.867,7.051,0.4234,607,257,98
richardson33a,5.864,7.148,0.3514,572,201,81
scale01a,4.561,5.244,0.1925,935,180,164
scale02a,4.63,5.361,0.3043,792,241,108
scale02b,5.372,5.314,0.2176,1273,277,156
scale03a,2.036,2.37,0.5016,319,160,138
scale04a,2.179,2.482,0.309,547,169,168
scale05a,5.127,5.468,0.2461,508,125,79
scale05b,5.785,4.582,0.1964,611,120,79
scale05c,4.576,4.318,0.2637,493,130,85
scale06a,4.616,5.276,0.2744,1108,304,185
scale06b,5.779,6.351,0.2565,1002,257,131
scale06c,5.128,5.667,0.3088,965,298,156
scale06d,5.21,6.07,0.2621,1263,331,200
scale07a,2.16,2.534,0.1918,511,98,163
scale08a,6.322,6.939,0.2829,820,232,115
scale09a,2.512,2.463,0.3296,358,118,121
scale10a,2.226,2.512,0.3266,346,113,84
scale11a,8.561,9.959,0.2497,1754,438,171
scale11b,7.667,8.645,0.2869,1185,340,138
scale12a,3.192,3.519,0.3601,461,166,104
scale12b,4.481,4.701,0.3971,413,164,77
scale12c,4.741,5.198,0.4031,459,185,81
scale12d,5.527,5.893,0.3631,683,248,112
scale13a,3.269,3.397,0.1914,1306,250,219
scale14a,9.415,10.698,0.3906,530,207,53
scale14c,6.0,6.576,0.4304,388,167,59
scale15a,3.763,4.155,0.3654,405,148,97
scale15b,4.579,4.813,0.3321,554,184,107
scale15c,3.658,3.858,0.3706,483,179,120
scale15d,4.053,4.092,0.3242,657,213,131
scale16a,6.865,7.906,0.2251,2621,590,340
scale17a,5.612,6.252,0.2321,1426,331,214
scale17c,6.17,6.363,0.1907,1437,274,182
scale18a,4.809,5.532,0.3674,479,176,94
scale18b,5.795,4.53,0.2831,537,152,83
scale18c,5.337,4.855,0.3252,489,159,83
scale18d,4.982,4.054,0.2918,634,185,112
scale19a,3.504,3.87,0.3255,467,152,115
scale20a,8.394,8.83,0.2722,1036,282,94
scale21a,8.928,10.226,0.2431,2077,505,208
scale22a,6.855,7.753,0.2839,1307,371,186
scale23a,7.803,8.942,0.2793,1450,405,173
scale24a,6.0,7.0,0.3215,647,208,99
scale25a,7.088,7.802,0.2566,756,194,91
scale26a,3.17,2.943,0.2802,1042,292,265
scale27a,2.986,1.746,0.1294,309,40,71
scale28a,2.386,2.614,0.2551,243,62,57
scale30a,5.764,6.147,0.1602,1704,273,225
scale30b,5.862,6.145,0.1868,1183,221,159
scale31a,5.906,6.671,0.1752,1781,312,277
scale32a,7.264,7.771,0.2783,1139,317,144
scale33a,3.691,3.805,0.3517,708,249,149
scale34a,7.811,7.623,0.2379,866,206,106
scale35a,4.2,4.117,0.3451,339,117,60
scale36a,3.569,3.375,0.2887,679,196,144
scale38a,4.448,4.768,0.2722,687,187,125
