session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
2440_T2,0.0019132354,0.3,0.124194,0.04,0.6161,0.111211225,0.0455,0.17870258,0.1481,0.4732,0.00036780024,0.2,0.30876902,0.0,1.0,0.33441073,0.4,0.24182713,0.08819559,0.569,0.030551923,0.0,0.17037037,0.07942857,0.6892,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.10204,0.08987857,0.11394063,0.35749924,0.23760319,0.16412848,0.015151526
2440_T3,0.0046305996,0.7,0.21334457,0.1667,0.7493,0.18599854,0.5,0.34557325,0.0909,0.8614,0.0047863745,0.6,0.32235485,0.0,0.7667,0.33879757,0.4,0.2973578,0.18464077,0.6369,0.028551891,0.0,0.22148149,0.07657143,0.6283,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.2219,0.26359898,0.29656294,0.20358454,0.28403053,0.23159885,0.008613028
2440_T4,0.004765319,0.5,0.22427812,0.2143,0.8556,0.20773962,0.5455,0.28967768,0.0476,0.7879,0.0057520405,0.8,0.31288594,0.2,1.0,0.3349666,1.0,0.29198387,0.12929353,0.8004,0.034120493,0.0,0.21888888,0.07514286,0.7371,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.18966,0.15716419,0.14511661,0.13075605,0.3019086,0.19597371,0.0122596845
2441_T2,0.006083927,0.5,0.25399497,0.375,0.6381,0.32736123,0.1818,0.39330888,0.4839,0.4984,0.009412276,0.4,0.54549193,0.25,0.6646,0.40365416,0.0,0.338558,0.47367632,0.7484,0.044424023,0.0,0.28037038,0.13471429,0.5655,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.05826,0.17165142,0.24816358,0.21847425,0.32023454,0.29868865,0.015686402
2463_T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42044395,0.0,0.2543663,0.16064197,0.5952,0.045995187,0.0,0.18259259,0.077,0.5054,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.2683,0.0,0.0,0.0,0.36224303,0.2145958,0.010888716
aprocsa1554a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24258628,0.4,0.31616658,0.23683816,0.9398,0.038905237,0.0,0.24814814,0.082428575,0.7719,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.2662,0.0,0.0,0.0,0.42633727,0.31277615,0.013014003
aprocsa1713a,0.005677564,0.6,0.2523129,0.2353,0.7719,0.19608083,0.9091,0.38147697,0.2157,0.798,0.0069860495,0.8,0.2844792,0.0,0.7538,0.44372267,0.8,0.41468877,0.52377385,0.8,0.03151738,0.0,0.33777776,0.42014286,0.8442,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.22954,0.13634776,0.3037837,0.20038907,0.42693716,0.4046997,0.010344027
aprocsa1731a,0.001387301,0.3,0.18979536,0.075,0.5227,0.17808498,0.2727,0.15463077,0.0,0.6617,0.0015104407,0.6,0.22643062,0.0,0.5917,0.2614754,0.6,0.20241827,0.0125993695,0.5083,0.032251313,0.0,0.14037037,0.009000001,0.4955,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.11618,0.29150406,0.13858041,0.16964537,0.23944508,0.12686495,0.01441438
aprocsa1738a,0.0042222007,0.7,0.32576397,0.375,0.9184,0.1566375,0.8182,0.56874746,0.2571,0.8209,0.004971159,0.8,0.562783,0.3333,0.8875,0.35851356,0.6,0.4043887,0.20833959,0.7542,0.046968162,0.0,0.33333334,0.19228572,0.7743,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.36474,0.28643638,0.49538177,0.5795951,0.5453839,0.4720282,0.014005462
aprocsa1833a,0.004408405,0.5,0.31006452,0.5294,0.7091,0.15242827,0.6818,0.40146878,0.16,0.7839,0.004870492,0.8,0.2519555,0.0,0.7436,0.26642472,0.8,0.380206,0.3856307,0.6598,0.03564992,0.0,0.3288889,0.3074286,0.7127,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.58672374,0.0,0.0,0.0,0.45276,0.18996674,0.33262342,0.13714136,0.5462541,0.34576312,0.01422534
